#mpa_vOct22_CHOCOPhlAnSGB_202212																			
clade_name	ETV364_1_filtered.fastqd_metagenome	ETV364_12_filtered.fastqd_metagenome	ETV364_15_filtered.fastqd_metagenome	ETV364_16_filtered.fastqd_metagenome	ETV364_17_filtered.fastqd_metagenome	ETV364_20_filtered.fastqd_metagenome	ETV364_21_filtered.fastqd_metagenome	ETV364_29_filtered.fastqd_metagenome	ETV364_3_filtered.fastqd_metagenome	ETV364_30_filtered.fastqd_metagenome	ETV364_32_filtered.fastqd_metagenome	ETV364_33_filtered.fastqd_metagenome	ETV364_35_filtered.fastqd_metagenome	ETV364_36_filtered.fastqd_metagenome	ETV364_37_filtered.fastqd_metagenome	ETV364_38_filtered.fastqd_metagenome	ETV364_50_filtered.fastqd_metagenome	ETV364_7_filtered.fastqd_metagenome	ETV364_8_filtered.fastqd_metagenome
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	9.11885	6.55159	0.39657	4.86489	0	0.83331	0.44475	0	0.29986	3.31534	1.9637	0	0.98339	1.33633	7.83761	0.34883	3.32929	5.60851	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	5.98138	4.67076	11.36667	8.68679	9.20704	5.30947	6.60238	6.56286	11.10485	7.38363	15.20576	14.84065	10.06825	8.94946	8.10974	14.04745	10.68034	5.06272	11.17705
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293	4.57155	5.96397	5.54145	4.97651	7.80944	2.17083	6.40313	4.88407	3.82808	5.88803	6.31065	4.8647	6.76749	2.71351	3.9557	5.19506	7.95376	3.56655	5.92904
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152	4.44106	0.23213	0.47229	0.0929	3.80243	0.44027	1.35673	2.62895	0.28739	0.92476	0.59044	0.55688	0.43906	0.76761	1.48427	0	0.72354	0.33681	0.03705
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820	3.76089	0	0	3.74189	0	0	0.00445	0	1.19773	4.93315	1.49306	0	1.8665	0	3.55853	0	4.30919	1.65897	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	3.53862	3.42183	3.67928	0	0	0	0	0	2.94494	1.40825	8.7867	0	6.30501	0	0	0	7.18796	1.44085	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2.74875	0.42202	0.34707	0.49408	0.71869	0.40309	0.2672	0.40462	0.6859	0.50954	0.41019	0.44566	0.79983	0.22096	0.63987	0.57632	0.68223	0.40065	0.46621
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2.33589	4.88274	10.94769	3.46315	16.11876	7.37858	28.26554	19.04557	19.41921	2.25234	5.84314	14.36489	6.49325	14.09435	4.77709	12.88847	3.46196	10.36514	21.84131
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2.10215	0.19638	0.61801	2.37385	1.55539	0.60116	1.5379	0.50945	0.42418	0.3835	0.58963	0.94254	0.77575	0.91818	0.27386	0.3138	0.84715	0.89369	1.66125
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.84438	6.16599	0.57478	2.45266	0.40903	0.34874	0.88246	1.00865	0.97038	9.09613	0.46858	0.92719	0.8328	1.46575	7.35205	0.85321	0.67966	1.18076	0.66328
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	1.21959	0	0.12554	0	0	0	0	0	0	0	0	0	0.33667	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790	0.87285	0.41486	1.54633	0.96035	2.0557	0.59864	3.60899	1.96863	0.84815	0.79688	0.81406	1.45213	0.8353	1.64331	1.51089	1.84186	1.16821	0.74548	1.17579
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	0.80334	0.07908	1.35244	0.05317	0.74838	0.08332	0.77763	0.47348	0.43188	0.36026	0.37559	0.39788	0.02553	0.19351	0.67137	0.46596	0.35973	0.40017	0.19446
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645	0.36209	0.15099	0.01312	0	0	0	0	0	0.09211	0.00266	0	0	0.19634	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.35525	1.15449	0.8612	0.53932	0	0.76629	0.87972	1.67178	0.72153	0.46734	1.25446	1.93288	1.89704	0.33917	0	2.26481	0.8604	0.243	1.11273
k__Bacteria|p__Firmicutes|c__CFGB28980|o__OFGB28980	0.24078	0.05323	0.49703	0	0.32005	0.08522	0.19302	0.33095	0.20585	0	0	0.25891	0.23605	0.19326	0.08652	0.32942	0.19159	0	0.01926
