Ensembl.Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Associated.Gene.Name
ENSMUSG00000106352,188.3789063,-0.556608793,0.084683309,-6.572827614,4.94E-11,1.52E-08,5033403H07Rik
ENSMUSG00000022404,1027.118591,-0.369642635,0.056320945,-6.563146941,5.27E-11,1.58E-08,Slc25a17
ENSMUSG00000031604,2078.630053,1.64564711,0.252056756,6.528875234,6.63E-11,1.94E-08,Msmo1
ENSMUSG00000002222,2352.411498,0.256555153,0.039555007,6.486034755,8.81E-11,2.52E-08,Rmnd5a
ENSMUSG00000042632,2380.062998,-0.67912443,0.105250766,-6.452441681,1.10E-10,3.08E-08,Pla2g6
ENSMUSG00000069601,658.8491531,0.624127821,0.097528343,6.399450699,1.56E-10,4.26E-08,Ank3
ENSMUSG00000090610,245.3478192,1.776248926,0.278669418,6.374036088,1.84E-10,4.92E-08,Gm3571
ENSMUSG00000049086,143.2757258,-0.658263287,0.103509423,-6.359452744,2.02E-10,5.30E-08,Bmyc
ENSMUSG00000030137,45.37165533,1.504206651,0.237041291,6.345757923,2.21E-10,5.43E-08,Tuba8
ENSMUSG00000031299,4062.006702,-0.282053265,0.044422617,-6.349316784,2.16E-10,5.43E-08,Pdha1
ENSMUSG00000060591,1766.300453,-0.339257238,0.053450057,-6.347181973,2.19E-10,5.43E-08,Ifitm2
ENSMUSG00000002332,3742.71589,-0.340192166,0.053656635,-6.340169635,2.30E-10,5.52E-08,Dhrs1
ENSMUSG00000034591,168.5299866,-0.994422692,0.15791357,-6.297259249,3.03E-10,7.15E-08,Slc41a2
ENSMUSG00000028464,335.3656158,-0.996213553,0.15844699,-6.287361802,3.23E-10,7.47E-08,Tpm2
ENSMUSG00000002797,154.2050839,0.664156803,0.10598182,6.266704993,3.69E-10,8.26E-08,Ggct
ENSMUSG00000057110,971.9194533,0.538752133,0.085981967,6.265873567,3.71E-10,8.26E-08,Cntrl
ENSMUSG00000019960,682.9950545,-0.970421106,0.155095349,-6.256932355,3.93E-10,8.59E-08,Dusp6
ENSMUSG00000031886,4927.88835,-0.470128202,0.075266001,-6.246222685,4.20E-10,9.03E-08,Ces2e
ENSMUSG00000024254,4681.664707,-1.210126335,0.196049122,-6.172566962,6.72E-10,1.42E-07,Abcg8
ENSMUSG00000029752,60.35913252,2.257587632,0.366726658,6.156049965,7.46E-10,1.55E-07,Asns
ENSMUSG00000051041,477.4629748,-0.466396762,0.075989007,-6.137687254,8.37E-10,1.71E-07,Olfml1
ENSMUSG00000044534,104.3128248,0.682708421,0.111868233,6.102790794,1.04E-09,2.09E-07,Ackr2
ENSMUSG00000095079,38.25285121,2.090559857,0.343095403,6.0932319,1.11E-09,2.18E-07,Igha
ENSMUSG00000093651,135.6773509,1.8081376,0.299821502,6.030713567,1.63E-09,3.17E-07,Gm5873
ENSMUSG00000020841,650.4412075,0.404402534,0.06718291,6.019425651,1.75E-09,3.34E-07,Cpd
ENSMUSG00000027184,3191.428218,0.387055951,0.064428326,6.007543137,1.88E-09,3.54E-07,Caprin1
ENSMUSG00000027792,1407.278443,0.402795678,0.067092651,6.003573726,1.93E-09,3.57E-07,Bche
ENSMUSG00000021143,901.7594651,0.366373121,0.061584684,5.949094805,2.70E-09,4.92E-07,Pacs2
ENSMUSG00000019132,3851.9183,0.256614537,0.043438834,5.90749131,3.47E-09,6.24E-07,BC005537
ENSMUSG00000029090,1106.670631,-0.277867334,0.047080008,-5.902023945,3.59E-09,6.26E-07,Adgra3
ENSMUSG00000040270,116.0439069,-1.317216908,0.223126658,-5.903449282,3.56E-09,6.26E-07,Bach2
ENSMUSG00000043067,1151.695397,0.342018399,0.058263996,5.870150053,4.35E-09,7.48E-07,Dpy19l1
ENSMUSG00000028995,326.2616056,0.824177754,0.140574014,5.862945298,4.55E-09,7.71E-07,Fam126a
ENSMUSG00000052117,515.9855485,-0.765587979,0.130893307,-5.848946712,4.95E-09,8.27E-07,D630039A03Rik
ENSMUSG00000059743,513.9517807,1.87194067,0.320204328,5.846081728,5.03E-09,8.29E-07,Fdps
ENSMUSG00000024866,1582.465595,-0.433516319,0.074230168,-5.840163547,5.21E-09,8.45E-07,Acy3
ENSMUSG00000025968,3419.922411,0.176228484,0.030183672,5.838536995,5.27E-09,8.45E-07,Ndufs1
ENSMUSG00000024354,2374.879301,0.470882586,0.080714944,5.833895979,5.41E-09,8.57E-07,Slc23a1
ENSMUSG00000001802,698.513395,-0.349632172,0.060111758,-5.816369104,6.01E-09,9.40E-07,Lrp3
ENSMUSG00000022883,327.7661267,0.851749961,0.146692959,5.806345233,6.39E-09,9.79E-07,Robo1
ENSMUSG00000052302,488.5399478,0.889669552,0.153251589,5.805287606,6.43E-09,9.79E-07,Tbc1d30
ENSMUSG00000025781,5134.176477,0.165008052,0.028528471,5.783978194,7.30E-09,1.10E-06,Atp5c1
ENSMUSG00000039096,281.256702,0.41727517,0.072553066,5.75130993,8.86E-09,1.32E-06,Rsad1
ENSMUSG00000026675,901.5060246,0.938206299,0.163656276,5.732785335,9.88E-09,1.45E-06,Hsd17b7
ENSMUSG00000038859,1620.17988,0.665022242,0.116912652,5.688197408,1.28E-08,1.84E-06,Baiap2l1
ENSMUSG00000058454,2029.285649,0.985692451,0.173246009,5.689553571,1.27E-08,1.84E-06,Dhcr7
ENSMUSG00000021670,1175.970056,0.988988563,0.173997474,5.683924817,1.32E-08,1.86E-06,Hmgcr
ENSMUSG00000024987,87.25390658,-1.11194474,0.195972892,-5.673972188,1.40E-08,1.95E-06,Cyp26a1
ENSMUSG00000022463,1346.61078,0.556152723,0.098259703,5.660028544,1.51E-08,2.09E-06,Srebf2
ENSMUSG00000030513,4685.174082,-0.291125512,0.051478433,-5.655290918,1.56E-08,2.13E-06,Pcsk6
ENSMUSG00000029167,143.6125515,0.688238173,0.122167518,5.633561085,1.77E-08,2.39E-06,Ppargc1a
ENSMUSG00000053414,128.2193026,0.906810958,0.162118675,5.593500931,2.23E-08,2.97E-06,Hunk
ENSMUSG00000037278,1108.219616,0.4843704,0.086875657,5.575444452,2.47E-08,3.23E-06,Tmem97
ENSMUSG00000079507,616.6983108,1.141515957,0.204671312,5.577312927,2.44E-08,3.23E-06,H2-Q1
ENSMUSG00000058258,50.12921286,2.313922588,0.416001651,5.562291844,2.66E-08,3.44E-06,Idi1
