"","clade_name","ETV364_8","ETV364_7","ETV364_50","ETV364_38","ETV364_37","ETV364_36","ETV364_35","ETV364_33","ETV364_32","ETV364_30","ETV364_3","ETV364_29","ETV364_21","ETV364_20","ETV364_17","ETV364_16","ETV364_15","ETV364_12","ETV364_1"
"84","k__Bacteria|p__Firmicutes|c__CFGB76170|o__OFGB76170|f__FGB76170|g__GGB28392|s__GGB28392_SGB40972",0,0,619,0,4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","k__Bacteria|p__Firmicutes|c__CFGB76234|o__OFGB76234|f__FGB76234|g__GGB28950|s__GGB28950_SGB41657",0,0,4642,76,0,0,0,0,0,0,0,0,0,3655,4872,0,0,0,0
"86","k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB20149|s__GGB20149_SGB29430",922637,1339394,2212813,595342,1267745,65771,2198892,107881,2250146,2775359,15413,320528,695601,117356,1321145,2063952,146622,2982304,1198457
"87","k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB28869|s__GGB28869_SGB41543",25069,111,1677,84137,22857,69205,8139,20581,6979,21826,19116,25526,26230,43040,8206,7211,60704,22076,12808
"88","k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB28875|s__GGB28875_SGB41555",0,252,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0
"89","k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB62427|s__GGB62427_SGB41546",327904,632907,456507,858896,158227,353236,702322,236699,187540,39185,94154,296015,390270,169988,205330,582898,213368,37692,311706
"90","k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB79698|s__GGB79698_SGB102258",0,0,0,0,0,0,343014,0,33494,265338,0,0,0,0,0,0,0,267377,0
"91","k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB79698|s__GGB79698_SGB41545",1742804,0,401817,2383769,16842,1441126,11835,2243921,904813,255927,2125057,2075367,1465220,1548501,2283651,558857,3174191,799924,1187029
"92","k__Bacteria|p__Firmicutes|c__CFGB76308|o__OFGB76308|f__FGB76308|g__GGB28881|s__GGB28881_SGB41561",0,0,1289,0,2536,0,0,0,0,1039,0,0,0,0,0,2079,0,0,2320
"93","k__Bacteria|p__Firmicutes|c__CFGB76314|o__OFGB76314|f__FGB76314|g__GGB28792|s__GGB28792_SGB41445",0,0,81622,0,75744,0,94714,0,60943,110391,0,0,0,0,0,163866,0,115949,0
"94","k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322|f__FGB76322|g__GGB28958|s__GGB28958_SGB41667",0,0,0,0,3352,0,0,0,0,1278,0,0,0,0,0,0,0,0,0
"95","k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322|f__FGB76322|g__GGB30414|s__GGB30414_SGB43453",1486,14883,38202,50743,8233,11398,26256,9380,0,0,8211,10317,28266,9975,9680,1624,17060,19579,20713
"96","k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355|f__FGB76355|g__GGB28418|s__GGB28418_SGB41001",0,0,4994,0,4517,0,0,0,0,0,0,0,667,0,0,0,0,554,928
"97","k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355|f__FGB76355|g__GGB28422|s__GGB28422_SGB41005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","k__Bacteria|p__Firmicutes|c__CFGB76576|o__OFGB76576|f__FGB76576|g__GGB29546|s__GGB29546_SGB42338",0,0,0,0,0,0,15413,3774,0,0,11197,1695,0,0,0,0,13842,0,19159
"99","k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790|g__GGB30302|s__GGB30302_SGB43266",314715,31397,150597,669060,214805,502978,226757,358670,197604,42376,229721,541063,770409,216901,448300,50777,475978,44751,52094
"100","k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790|g__GGB30302|s__GGB30302_SGB43267",0,185041,104648,0,139461,0,10362,0,29681,216601,0,0,0,0,0,282568,0,115499,176772
"101","k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790|g__GGB30303|s__GGB30303_SGB43268",0,0,4563,0,0,0,3705,0,0,3046,0,0,0,751,0,620,0,859,2402
"102","k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790|g__GGB45624|s__GGB45624_SGB63337",15104,41103,24006,62027,10732,90218,7215,34405,43717,32274,18888,25248,19641,48272,119619,48027,29451,18599,71369
"103","k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152|f__FGB8152|g__GGB28864|s__GGB28864_SGB41535",20529,227705,345519,0,709007,542847,257470,6117,384768,566601,166019,695948,312004,382159,2048603,72494,258598,182180,1563480
"104","k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152|f__FGB8152|g__GGB28870|s__GGB28870_SGB41549",0,0,0,0,0,0,0,270708,0,96493,0,743236,256693,0,0,0,42882,14321,1331399
"105","k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28996|s__GGB28996_SGB41712",0,0,0,0,0,0,0,0,0,0,1162,0,0,0,35524,0,159152,0,61544
"106","k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB79773|s__GGB79773_SGB65054",0,0,0,0,1495,0,8293,0,27573,19,0,0,0,0,0,0,0,4943,0
"107","k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB79776|s__GGB79776_SGB41413",0,0,0,0,0,0,0,0,0,301557,0,298953,0,0,126737,0,0,0,0
"108","k__Bacteria|p__Firmicutes|c__CFGB9397|o__OFGB9397|f__FGB9397|g__GGB79926|s__GGB79926_SGB43248",6104,2009,18122,3609,11215,1955,10288,7799,7605,3461,7656,6302,204,0,0,8617,82,11575,0
"109","k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479|f__FGB9479|g__GGB28330|s__GGB28330_SGB40904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506|f__FGB9506|g__GGB28394|s__GGB28394_SGB40975",0,3721,342,0,324,0,0,0,2927,3573,0,0,0,0,0,1735,0,1892,0
"111","k__Bacteria|p__Firmicutes|c__CFGB9517|o__OFGB9517|f__FGB9517|g__GGB28436|s__GGB28436_SGB41019",1437,1739,539,3848,0,4377,3976,1312,6560,1545,0,85,0,628,886,1935,0,0,0
"112","k__Bacteria|p__Firmicutes|c__CFGB9589|o__OFGB9589|f__FGB9589|g__GGB28829|s__GGB28829_SGB41485",654211,176,0,1524719,0,1340453,0,639828,0,0,555284,439213,65262,1764763,673359,0,2126634,0,0
"113","k__Bacteria|p__Firmicutes|c__CFGB9622|o__OFGB9622|f__FGB9622|g__GGB45513|s__GGB45513_SGB63185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633|f__FGB9633|g__GGB28883|s__GGB28883_SGB41564",0,0,0,32023,0,59107,0,9025,0,0,5435,12367,9501,78405,42612,0,16654,0,0
"115","k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB28908|s__GGB28908_SGB41656",2975,7625,3649,4769,10940,0,1698,1965,8627,5223,0,3057,5519,0,1339,6773,0,0,0
"116","k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827|g__GGB29531|s__GGB29531_SGB42317",22149,10256,6157,8646,14788,28120,20147,28028,21767,0,39941,46768,32700,17983,10053,14380,26453,26174,6997
"117","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Metalachnospira|s__Candidatus_Metalachnospira_SGB63370",5112,15648,2756,501,0,1260,9452,480,7031,30630,3549,3518,841,1262,0,11918,227,0,0
"118","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28934|s__GGB28934_SGB41635",0,0,0,0,0,0,0,0,1872,53700,0,0,0,0,0,0,0,0,0
"119","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB75314|s__GGB75314_SGB102498",0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,761,0,0
